고유번호,직업 이름,하는 일
1,3D프린트 전문가," 3D 프린팅 전문가는 소재를 쌓아 물체를 만드는 3D프린터를 이용해 고객의 요구에 따라 제품(미니어처, 액세서리, 일상용품, 개인 편의 제품, 기계 부품 등)을 만들어 냅니다. 
 컴퓨터 프로그램을 활용하여 설계된 디자인대로 프린터를 조작하고 운영합니다.
 제품을 디자인하는 3D 모델링 과정, 설계된 데이터값을 입력하는 3D 프린팅 과정, 출력된 제품을 후처리하는 과정을 통해 최종 제품을 설계하고 제작하는 서비스를 제공하는 일을 합니다."
2,GIS 전문가," 지리정보시스템(GIS: Geographic Information System)전문가는 국토 공간상에 존재하는 각종 위치 및 속성정보 등을 정보화하여 활용하는 것으로 첨단정보시스템에 대한 전반적인 업무를 수행합니다.
 사용자 의견을 수렴하여 시스템의 구조를 설계하고, 데이터베이스, 사용자 인터페이스 및 네트워크의 기본적인 시스템 구조를 설계합니다.
 지리정보에 사용되는 각종 데이터를 수집 및 분석하여 이를 데이터베이스화 합니다."
3,IT컨설턴트," IT컨설턴트는 기업의 인적, 물적 자원 및 모든 조건에 관련된 자료를 수집 및 분석하고, 최근의 기술과 활용 가능한 자원, 현재 상태를 고려해 시스템을 만들기 위한 전문적인 조언이나 자문을 하는 일을 합니다.
 이미 만들어진 정보시스템을 통해 경영상의 개선 효과, 시스템의 효율성 등에 대해 평가를 실시하고 시스템의 운용과 유지, 관리에 대한 조언을 합니다.  
현재의 정보시스템을 완전히 교체하기 위해 새로운 시스템을 전면적으로 개발하는 경우, 국내나 국외의 비슷한 시스템에 대해 비교, 분석하며, 필요한 시스템 구성 방안이나 예산을 세우고 시스템이 만들어졌을 때 기대되는 효과를 분석합니다.  
정보시스템 개발 프로젝트 진행 사항에 대한 점검을 하고 개발 중인 시스템에 대한 기획 단계와 프로그램 개발 단계 등 각 과정에 대해 감리하며, 개발 요구 사항에 맞게 진행되고 있는지를 확인하고 평가합니다.
 기업이 업무 효율성과 생산성을 높이는 정보시스템을 만들고 운영할 수 있도록 기획과 시스템 구축 방안, 운영 방법 등에 대한 전문적인 조언을 합니다."
4,SNS 마케터," SNS(Social Network Service)마케터는 SNS를 통해 상품을 홍보 및 판매하고 소비자 반응을 분석하는 업무를 수행합니다.
 판매하는 상품에 적합한 SNS 채널과 소비자층을 설정하고 마케팅 계획을 수립한 후 판매를 진행합니다.
 상품 판매 이후에는 소비자의 반응을 분석합니다."
5,UX 디자인 컨설턴트,"UX 디자인 컨설턴트는 사용자의 마음과 행동에 대한 조사와 이해를 바탕으로 사용자 입장에서 제품을 설계해 더 편리하게 사용하도록 하는 UX(사용자 경험, UX: User Experience) 디자인 업무를 수행합니다. 
사용자들이 제품이나 서비스에 만족 또는 불만족을 느끼는 요소는 무엇이고, 이에 더해 새로 원하는 요구가 무엇인지를 찾아 새로운 제품 기획안을 만들어 냅니다.  
웹, 스마트폰, 태블릿PC에 담기는 각종 애플리케이션을 어떻게 하면 더 편리하게 사용할 수 있을지 문제점을 파악하고 해결책을 제시합니다."
6,가상현실전문가," 가상현실전문가는 3차원모델링(3D)등의 기술을 이용해 가상의 시공간에서 가상시스템을 개발합니다.  
사용자가 원하는 가상 세계가 무엇인지 파악하거나 개발하고자 하는 시스템을 분석하여 개발 방향을 설정합니다.
 신제품에 대한 기획안을 토대로 3차원 컴퓨터그래픽 제어 기술을 활용하여 프로그래밍 한 후 디자인 감각을 바탕으로 사용자가 실제감을 느낄 수 있도록 가상현실시스템을 디자인합니다."
7,감성인식기술전문가," 인간의 감성을 컴퓨터가 인식할 수 있는 기술을 개발합니다.
 인간의 감성을 인식할 수 있는 유무선 센서 기술을 개발합니다.
 기존 IT 제품 및 몸에 착용할 수 있는 기기(웨어러블 장치)에 사용자의 감성을 인식시키는 기술을 적용합니다."
8,개인미디어 콘텐츠제작자(크리에이터)," 개인 미디어 콘텐츠 제작자는 유튜브, 트위치, 아프리카TV 등 미디어 플랫폼 서비스에 영상과 오디오로 된 콘텐츠를 만들어 올립니다.
 제작자 개인의 적성과 취향에 따라 표현하고 싶은 주제의 콘텐츠를 제작합니다.
 콘텐츠 제작을 위한 자료 조사와 기획·연출, 영상 촬영을 합니다.
 촬영된 영상을 편집하고, 자신의 미디어 플랫폼 서비스에 영상을 올립니다."
9,개인형 이동수단 개발자,"전기자동차, 전동 퀵보드 등 전기를 동력으로 하는 1인용 이동 수단을 연구하고 개발합니다.
새로운 개인용 이동 수단의 동력장치와 구성품을 연구하고 설계합니다.
개인용 이동 수단의 디자인을 설계합니다.
동력장치를 비롯하여 각종 구성품의 성능을 평가하고 개선합니다."
10,건설견적원," 건설견적원은 도로, 교량, 건축구조물, 전기 및 기계 설비 등의 공사 비용을 분석하고 이에 대한 견적서를 작성하는 일을 담당합니다.
 시장가격, 설계 도면, 각종 내역서에 기초하여 건설사업에 필요한 자재, 노동력, 장비 등에 대한 비용 견적서를 작성합니다.
 입찰 방법, 경쟁업체 등을 파악하고, 관련 자료 분석을 통해 낙찰 가능한 입찰 금액을 계산합니다.
 공사 규모에 따라 필요한 인력의 비용을 고려하여 전체적인 공사비를 산출하고, 입찰과 관련된 서류를 작성합니다."
